X,Y1,Y2
"Nadie sabe lo que está por venir: de aquí a mañana muchas horas hay, y en una, y aun en un momento, se cae la casa; yo he visto llover y hacer sol, todo a un mesmo punto; tal se acuesta sano la noche, que no se puede mover otro día.",0,0
La de la caballería andante,0,1
¿Ahí está el señor Florismarte?,0,1
"Don Quijote mi amo, según he oído decir en esta tierra, es un loco cuerdo y un mentecato gracioso, y que yo no le voy en zaga.",1,0
¿Cómo si es así?,0,1
"Si vuestra merced quiere un traguito, aunque caliente, puro, aquí llevo una calabaza llena de lo caro, con no sé cuántas rajitas de queso de Tronchón, que servirán de llamativo y despertador de la sed , si acaso está durmiendo.",0,0
"El cual, así como recibió la bendición, con presta ligereza se levantó en pie, y con no vista desenvoltura se sacó el estoque, a quien servía de vaina su cuerpo.",0,0
"En esto de las campanas anda muy impropio maese Pedro, porque entre moros no se usan campanas, sino atabales y un género de dulzainas que parecen nuestras chirimías; y esto de sonar campanas en Sansueña sin duda que es un gran disparate.",0,0
"Y aun, si va a decir verdad, mucho mejor me sabe lo que como en mi rincón sin melindres ni respetos, aunque sea pan y cebolla, que los gallipavos de otras mesas donde me sea forzoso mascar despacio, beber poco, limpiarme a menudo, no estornudar ni toser si me viene gana, ni hacer otras cosas que la soledad y la libertad traen consigo.",0,0
Pues si no me puede entender,0,1
Los que yo tengo,0,1
"De aquí tomó ocasión el duque de hacerle aquella burla: tanto era lo que gustaba de las cosas de Sancho y de don Quijote; y haciendo tomar los caminos cerca y lejos del castillo, por todas las partes que imaginó que podría volver don Quijote, con muchos criados suyos de a pie y de a caballo, para que por fuerza o de grado le trujesen al castillo, si le hallasen, halláronle, dieron aviso al duque, el cual, ya prevenido de todo lo que había de hacer, así como tuvo noticia de su llegada mandó encender las hachas y las luminarias del patio y poner a Altisidora sobre el túmulo, con todos los aparatos que se han contado, tan al vivo",1,0
"No vos acuitéis, señoras",0,1
"Todo lo miraba Sancho, y de ninguna cosa se dolía, antes, por cumplir con el refrán que él muy bien sabía de «cuando a Roma fueres, haz como vieres», pidió a Ricote la bota y tomó su puntería como los demás y no con menos gusto que ellos.",0,0
"En tanto que en sí vuelve Altisidora, muerta por la crueldad de don Quijote, y en tanto que en la corte encantadora se vistieren las damas de picote, y en tanto que a sus dueñas mi señora vistiere de bayeta y de anascote, cantaré su belleza y su desgracia, con mejor plectro que el cantor de Tracia.",0,0
¿Hanse de llevar ellos la fama de las que acaban y hemos de llevar nosotros el trabajo?,0,0
¡A fee que agora que no hay pariente pobre!,0,0
"Parece que había madrugado el sol a ver el sacrificio, con cuya luz volvieron a proseguir su camino, tratando entre los dos del engaño de don Álvaro y de cuán bien acordado había sido tomar su declaración ante la justicia, y tan auténticamente.",0,0
"Estemos a razón, Sancho",0,1
"respondió Sancho- que vuesa merced la señale con almagre, como rétulos de cátedras, porque le echen bien de ver los que le vieren.",0,0
Eso no haré yo,0,1
"Déjese deso, señor",0,1
"Tenga grande esperanza y confianza en Él, que pues a mí me ha vuelto a mi primero estado, también le volverá a él, si en Él confía.",0,1
"En resolución, él me aduló el entendimiento y me rindió la voluntad con no sé qué dijes y brincos que me dio; pero lo que más me hizo postrar y dar conmigo por el suelo fueron unas coplas que le oí cantar una noche desde una reja que caía a una callejuela donde él estaba, que si mal no me acuerdo decían:",1,0
"Tú, que con tantas sinrazones muestras la razón que me fuerza a que la haga a la cansada vida que aborrezco, pues ya ves que te da notorias muestras esta del corazón profunda llaga de cómo alegre a tu rigor me ofrezco, si por dicha conoces que merezco que el cielo claro de tus bellos ojos en mi muerte se turbe, no lo hagas: que no quiero que en nada satisfagas al darte de mi alma los despojos; antes con risa en la ocasión funesta descubre que el fin mío fue tu fiesta.",1,0
"La verdad es que llegué a la puerta, adonde estaban jugando hasta una docena de diablos a la pelota, todos en calzas y en jubón, con valonas guarnecidas con puntas de randas flamencas, y con unas vueltas de lo mismo que les servían de puños, con cuatro dedos de brazo de fuera, porque pareciesen las manos más largas, en las cuales tenían unas palas de fuego; y lo que más me admiró fue que les servían, en lugar de pelotas, libros, al parecer llenos de viento y de borra, cosa maravillosa y nueva; pero esto no me admiró tanto como el ver que, siendo natural de los jugadores el alegrarse los gananciosos y entristecerse los que pierden, allí en aquel",0,0
"De Madrid, último de otubre de mil seiscientos y quince.",1,0
"Pero, fiada en su bondad, se fió en Dios y en su buen pensamiento, con que pensaba resistir callando a todo aquello que Lotario decirle quisiese, sin dar más cuenta a su marido, por no ponerle en alguna pendencia y trabajo; y aun andaba buscando manera como disculpar a Lotario con Anselmo, cuando le preguntase la ocasión que le había movido a escribirle aquel papel.",1,0
"la ardiente arena, envía sus quejas al piadoso cielo.",1,0
"dijo don Fernando-, no ha de ser así, que yo quiero que Dorotea prosiga su invención; que como no sea muy lejos de aquí el lugar deste buen caballero, yo holgaré de que se procure su remedio.",0,0
"Contó asimesmo con brevedad la causa que allí los había traído, con la estrañeza de la locura de don Quijote, y como aguardaban a su escudero, que había ido a buscalle.",1,0
"El menor, y a lo que yo creo el más discreto, dijo que quería seguir la Iglesia o irse a acabar sus comenzados estudios a Salamanca.",0,1
"No sé con qué intención viene, ni cómo ha podido escaparse de su padre, que le quiere estraordinariamente, porque no tiene otro heredero y porque él lo merece, como lo verá vuestra merced cuando le vea.",1,0
"Pero, con todo eso, la virtud es tan poderosa, que por sí sola, a pesar de toda la nigromancía que supo su primer inventor Zoroastes, saldrá vencedora de todo trance y dará de sí luz en el mundo como la da el sol en el cielo.",0,0
"Buen hombre, deteneos, que parece que vais con más diligencia que ese macho ha menester.",0,0
"El primero que se resintió fue Sancho Panza; y hallándose junto a su señor, con voz enferma y lastimada dijo:",1,0
"No se enoje vuestra merced, señor mío",0,1
"Fuese llegando a la venta que a él le parecía castillo, y a poco trecho della detuvo las riendas a Rocinante, esperando que algún enano se pusiese entre las almenas a dar señal con alguna trompeta de que llegaba caballero al castillo.",1,0
"tierra de mi seco ingenio ha caído; la cultivación, el tiempo que ha que le sirvo y comunico; y con esto espero de dar frutos de mí que sean de bendición, tales que no desdigan ni deslicen de los senderos de la buena crianza que vuesa merced ha hecho en el agostado entendimiento mío.",1,0
¡Par Dios,0,1
"Pidiéronle a la ventera una saya y unas tocas, dejándole en prendas una sotana nueva del cura.",1,0
"Dame, si tienes, con que me limpie, que el copioso sudor me ciega los ojos.",0,0
"Porque yo tengo para mí, ¡oh amigo!, que no es una mujer más buena de cuanto es o no es solicitada, y que aquella sola es fuerte que no se dobla a las promesas, a las dádivas, a las lágrimas y a las continuas importunidades de los solícitos amantes.",0,1
"Pasaba mi padre los términos de la liberalidad y rayaba en los de ser pródigo, cosa que no le es de ningún provecho al hombre casado y que tiene hijos que le han de suceder en el nombre y en el ser.",0,1
"¡Afuera, canalla hechiceresca, que yo soy don Quijote de la Mancha, contra quien no valen ni tienen fuerza vuestras malas intenciones!",0,0
"replicó Sancho-, debiérase acordar de los capítulos de nuestro concierto antes que esta última vez saliésemos de casa: uno dellos fue que me",0,0
"dijo Sancho-, no lo consentirán los cardenales, que aún se están frescos en las costillas.",0,0
¡Y cómo si lo son!,0,1
Sí reniego,0,1
"Don Fernando daba gracias al cielo por la merced recebida y haberle sacado de aquel intricado laberinto, donde se hallaba tan a pique de perder el crédito y el alma; y, finalmente, cuantos en la venta estaban estaban contentos y gozosos del buen suceso que habían tenido tan trabados y desesperados negocios.",1,0
"Digo, en fin, que entonces llegó en todo estremo aderezada y en todo estremo hermosa, o a lo menos a mí me pareció serlo la más que hasta entonces había visto; y con esto, viendo las obligaciones en que me había puesto, me parecía que tenía delante de mí una deidad del cielo, venida a la tierra para mi gusto y para mi remedio.",1,0
También se alegrarán,0,1
"De cualquiera palabra que Sancho decía, la duquesa gustaba tanto como se desesperaba don Quijote; y mandándole que callase, la Dolorida prosiguió diciendo:",1,0
"Pues, aunque eso sea",0,1
"Apeáronse de sus bestias amo y mozo, y, acomodándose a los troncos de los árboles, Sancho, que había merendado aquel día, se dejó entrar de rondón por las puertas del sueño; pero don Quijote, a quien desvelaban sus imaginaciones mucho más que la hambre, no podía pegar sus ojos, antes iba y venía con el pensamiento por mil géneros de lugares.",1,0
"No, por cierto",0,1
"En llegando a él, se tendió en el suelo, encima de la yerba, y los demás hicieron lo mismo, y todo esto sin que ninguno hablase, hasta que el Roto, después de haberse acomodado en su asiento, dijo:",0,0
"El resto della concluían sayo de velarte, calzas de velludo para las fiestas, con sus pantuflos de lo mesmo, y los días de entresemana se honraba con su vellorí de lo más fino.",1,0
"Y más le sé decir: que todo aquello que canta lo saca de su cabeza, que he oído decir que es muy gran estudiante y poeta.",1,0
"le vino a llamar «Rocinante», nombre, a su parecer, alto, sonoro y significativo de lo que había sido cuando fue rocín, antes de lo que ahora era, que era antes y primero de todos los rocines del mundo.",0,0
"Llévaste dos mil suspiros, que a ser de fuego pudieran abrasar a dos mil Troyas, si dos mil Troyas hubiera.",1,0
"Cuando yo oí decir «Dulcinea del Toboso», quedé atónito y suspenso, porque luego se me representó que aquellos cartapacios contenían la historia de don Quijote.",0,0
"Por las cuales razones yo no debo sentir ni siento las que aquel buen hombre me ha dicho: solo quisiera que esperara algún poco, para darle a entender en el error en que está en pensar y decir que no ha habido, ni los hay, caballeros andantes en el mundo; que si lo tal oyera Amadís, o uno de los infinitos de su linaje, yo sé que no le fuera bien a su merced.",0,0
Y yo lo digo también,0,1
"Para cuya seguridad, andando más los tiempos y creciendo más la malicia, se instituyó la orden de los caballeros andantes, para defender las doncellas, amparar las viudas y socorrer a los huérfanos y a los menesterosos.",1,0
"CARTA DE SANCHO PANZA A DON QUIJOTE DE LA MANCHA La ocupación de mis negocios es tan grande, que no tengo lugar para rascarme la cabeza, ni aun para cortarme las uñas , y, así, las traigo tan crecidas cual Dios lo remedie.",1,0
"Con estas que daba, al parecer, justas escusas, dejaba el tío de importunarla y esperaba a que entrase algo más en edad y ella supiese escoger compañía a su gusto.",0,0
"Era la noche entreclara, puesto que quisiera Sancho que fuera del todo escura, por hallar en su escuridad disculpa de su sandez.",1,0
"Dice, pues, que bien se acordará el que hubiere leído la primera parte desta historia de aquel Ginés de Pasamonte a quien entre otros galeotes dio libertad don Quijote en Sierra Morena, beneficio que después le fue mal agradecido y peor pagado de aquella gente maligna y mal acostumbrada.",1,0
"Si tú no me descubres, Sancho",0,1
"¡Maldito seas de Dios, mentecato!",0,1
"Seguramente puede vuestra merced entrar y espaciarse en este castillo, que aunque es estrecho y mal acomodado no hay estrecheza ni incomodidad en el mundo que no dé lugar a las armas y a las letras, y más si las armas y letras traen por guía y adalid a la fermosura, como la traen las letras de vuestra merced en esta fermosa doncella, a quien deben no solo abrirse y manifestarse los castillos, sino apartarse los riscos y devidirse y abajarse las montañas para dalle acogida.",0,0
Juntamente con esto me decía que fuese yo a ser el rector del tal colegio.,1,0
Pues lo mesmo,0,1
"Eso mesmo es bien que yo pregunte, señora",0,1
"Allí vio él visiones hermosas y apacibles, y yo veré aquí, a lo que creo, sapos y culebras.",0,0
