Sex,Age,Pclass2,Family,Family2,Fare2,Cabin2,Embarked2,Survived2
male,22.0,3ra,1,couple,2.1102132003465894,no,S,no
female,38.0,1ra,1,couple,4.2805931204649,yes,C,yes
female,26.0,3ra,0,single,2.188856327665703,no,S,yes
female,35.0,1ra,1,couple,3.9908341858524357,yes,S,yes
male,35.0,3ra,0,single,2.2027647577118348,no,S,no
male,,3ra,0,single,2.246892662898172,no,Q,no
male,54.0,1ra,0,single,3.967694202798607,yes,S,no
male,2.0,3ra,4,family,3.0944457464900235,no,S,no
female,27.0,3ra,2,family,2.495953738718064,no,S,yes
female,14.0,2da,1,couple,3.436268471383741,no,C,yes
female,4.0,3ra,2,family,2.8735646395797834,yes,S,yes
female,58.0,1ra,0,single,3.3160025355989236,yes,S,yes
male,20.0,3ra,0,single,2.2027647577118348,no,S,no
male,39.0,3ra,6,family,3.4742929367327062,no,S,no
female,14.0,3ra,0,single,2.180891922715322,no,S,no
female,55.0,2da,0,single,2.833213344056216,no,S,yes
male,2.0,3ra,5,family,3.405355391810819,no,Q,no
male,,2da,0,single,2.6390573296152584,no,S,yes
female,31.0,3ra,1,couple,2.9444389791664403,no,S,no
female,,3ra,0,single,2.1071782966514356,no,C,yes
male,35.0,2da,0,single,3.295836866004329,no,S,no
male,34.0,2da,0,single,2.6390573296152584,yes,S,yes
female,15.0,3ra,0,single,2.2004637699272855,no,Q,yes
male,28.0,1ra,0,single,3.597312260588446,yes,S,yes
female,8.0,3ra,4,family,3.0944457464900235,no,S,no
female,38.0,3ra,6,family,3.4777725458882283,no,S,yes
male,,3ra,0,single,2.1071782966514356,no,C,no
male,19.0,1ra,5,family,5.575949103146316,yes,S,no
female,,3ra,0,single,2.1837114628556327,no,Q,yes
male,,3ra,0,single,2.1855792552411137,no,S,no
male,40.0,1ra,0,single,3.357621598945279,no,C,no
female,,1ra,1,couple,4.993969182787072,yes,C,yes
female,,3ra,0,single,2.169053700369523,no,Q,yes
male,66.0,2da,0,single,2.4423470353692043,no,S,no
male,28.0,1ra,1,couple,4.420896324687287,no,C,no
male,42.0,1ra,1,couple,3.970291913552122,no,S,no
male,,3ra,0,single,2.1076888046179385,no,C,yes
male,21.0,3ra,0,single,2.2027647577118348,no,S,no
female,18.0,3ra,2,family,2.9444389791664403,no,S,no
female,14.0,3ra,1,couple,2.5048481563289,no,C,yes
female,40.0,3ra,1,couple,2.348991465808201,no,S,no
female,27.0,2da,1,couple,3.091042453358316,no,S,no
male,,3ra,0,single,2.1855792552411137,no,C,no
female,3.0,2da,3,family,3.7513658711253766,no,C,yes
female,19.0,3ra,0,single,2.1837114628556327,no,Q,yes
male,,3ra,0,single,2.2027647577118348,no,S,no
male,,3ra,1,couple,2.803360380906535,no,Q,no
female,,3ra,0,single,2.169053700369523,no,Q,yes
male,,3ra,2,family,3.1214482048688246,no,C,no
female,18.0,3ra,1,couple,2.9338568698359038,no,S,no
male,7.0,3ra,5,family,3.705920919968788,no,S,no
male,21.0,3ra,0,single,2.174751721484161,no,S,no
female,49.0,1ra,1,couple,4.353230991152628,yes,C,yes
female,29.0,2da,1,couple,3.295836866004329,no,S,yes
male,65.0,1ra,1,couple,4.142804513146981,yes,C,no
male,,1ra,0,single,3.597312260588446,yes,S,yes
female,21.0,2da,0,single,2.4423470353692043,no,S,yes
male,28.5,3ra,0,single,2.1076888046179385,no,C,no
female,5.0,2da,3,family,3.3586377672433594,no,S,yes
male,11.0,3ra,7,family,3.8691155044168695,no,S,no
male,22.0,3ra,0,single,2.1076888046179385,no,C,no
female,38.0,1ra,0,single,4.394449154672439,yes,X,yes
male,45.0,1ra,1,couple,4.436455632600354,yes,S,no
male,4.0,3ra,5,family,3.3638415951183864,no,S,no
male,,1ra,0,single,3.357621598945279,no,C,no
male,,3ra,2,family,2.7878344138303452,no,C,yes
female,29.0,2da,0,single,2.4423470353692043,yes,S,yes
male,19.0,3ra,0,single,2.2146605719425225,no,S,no
female,17.0,3ra,6,family,2.188856327665703,no,S,yes
male,26.0,3ra,2,family,2.2682524139135403,no,S,no
male,32.0,2da,0,single,2.4423470353692043,no,S,no
female,16.0,3ra,7,family,3.8691155044168695,no,S,no
male,21.0,2da,0,single,4.310799125385514,no,S,no
male,26.0,3ra,1,couple,2.737880811060884,no,C,no
male,32.0,3ra,0,single,4.05171190165724,no,S,yes
male,25.0,3ra,0,single,2.157559320943788,yes,S,no
male,,3ra,0,single,2.1855792552411137,no,S,no
male,,3ra,0,single,2.2027647577118348,no,S,no
male,,2da,2,family,3.4011973816621555,no,S,yes
female,30.0,3ra,0,single,2.600836116795061,no,S,yes
male,22.0,3ra,0,single,2.302585092994046,no,S,no
male,29.0,3ra,0,single,2.3513752571634776,no,S,yes
female,,3ra,0,single,2.1733302571367834,no,Q,yes
male,28.0,1ra,0,single,3.8732821771117156,no,S,no
female,17.0,2da,0,single,2.4423470353692043,no,S,yes
female,33.0,3ra,3,family,2.8243506567983707,no,S,yes
male,16.0,3ra,4,family,3.5660053559634015,no,S,no
male,,3ra,0,single,2.2027647577118348,no,S,no
female,23.0,1ra,5,family,5.575949103146316,yes,S,yes
male,24.0,3ra,0,single,2.2027647577118348,no,S,no
male,29.0,3ra,0,single,2.2027647577118348,no,S,no
male,20.0,3ra,0,single,2.180891922715322,no,S,no
male,46.0,1ra,1,couple,4.1299529896894684,yes,S,no
male,26.0,3ra,3,family,3.0715352369694915,no,S,no
male,59.0,3ra,0,single,2.1102132003465894,no,S,no
male,,3ra,0,single,2.2027647577118348,no,S,no
male,71.0,1ra,0,single,3.57386695198272,yes,C,no
male,23.0,1ra,1,couple,4.164465907853638,yes,C,yes
female,34.0,2da,1,couple,3.1780538303479458,no,S,yes
male,34.0,2da,1,couple,3.295836866004329,no,S,no
female,28.0,3ra,0,single,2.1855792552411137,no,S,no
male,,3ra,0,single,2.1855792552411137,no,S,no
male,21.0,1ra,1,couple,4.360387947851531,yes,S,no
male,33.0,3ra,0,single,2.267393053825037,no,S,no
male,37.0,3ra,2,family,2.188856327665703,no,S,no
male,28.0,3ra,0,single,2.1855792552411137,no,S,no
female,21.0,3ra,0,single,2.157559320943788,no,S,yes
male,,3ra,0,single,2.1719067693519296,no,S,yes
male,38.0,3ra,0,single,2.1855792552411137,no,S,no
female,,3ra,1,couple,3.224857896545748,no,Q,yes
male,47.0,1ra,0,single,3.970291913552122,yes,S,no
female,14.5,3ra,1,couple,2.737880811060884,no,C,no
male,22.0,3ra,0,single,2.2027647577118348,no,S,no
female,20.0,3ra,1,couple,2.3818582738885534,no,S,no
female,17.0,3ra,0,single,2.738146075922933,no,C,no
male,21.0,3ra,0,single,2.188856327665703,no,S,no
male,70.5,3ra,0,single,2.169053700369523,no,Q,no
male,29.0,2da,1,couple,3.091042453358316,no,S,no
male,24.0,1ra,1,couple,5.515526544247129,yes,C,no
female,2.0,3ra,6,family,3.4742929367327062,no,S,no
male,21.0,2da,2,family,4.310799125385514,no,S,no
male,,3ra,0,single,2.2027647577118348,no,S,no
male,32.5,2da,1,couple,3.436268471383741,no,C,no
female,32.5,2da,0,single,2.6390573296152584,yes,S,yes
male,54.0,1ra,1,couple,4.360387947851531,yes,S,no
male,12.0,3ra,1,couple,2.5048481563289,no,C,yes
male,,3ra,0,single,2.169053700369523,no,Q,no
male,24.0,3ra,0,single,2.0969990034181696,no,S,yes
female,,3ra,2,family,3.1509523813392697,yes,C,yes
male,45.0,3ra,0,single,2.076311648670908,no,S,no
male,33.0,3ra,0,single,2.1855792552411137,no,C,no
male,20.0,3ra,0,single,2.085672091430472,no,S,no
female,47.0,3ra,1,couple,2.740840023925201,no,S,no
female,29.0,2da,1,couple,3.295836866004329,no,S,yes
male,25.0,2da,0,single,2.6390573296152584,no,S,no
male,23.0,2da,0,single,2.775447133088262,no,C,no
female,19.0,1ra,2,family,3.3062747934011893,yes,S,yes
male,37.0,1ra,1,couple,3.9908341858524357,yes,S,no
male,16.0,3ra,0,single,2.3240236363515288,no,S,no
male,24.0,1ra,0,single,4.384523514872469,yes,C,no
female,,3ra,2,family,2.7878344138303452,no,C,no
female,22.0,3ra,0,single,2.169053700369523,no,S,yes
female,24.0,3ra,1,couple,2.8243506567983707,no,S,yes
male,19.0,3ra,0,single,2.0476928433652555,no,Q,no
male,18.0,2da,0,single,2.5257286443082556,no,S,no
male,19.0,2da,2,family,3.6309854756950335,no,S,no
male,27.0,3ra,0,single,2.174274334826008,no,S,yes
female,9.0,3ra,4,family,3.5660053559634015,no,S,no
male,36.5,2da,2,family,3.295836866004329,yes,S,no
male,42.0,2da,0,single,2.6390573296152584,no,S,no
male,51.0,2da,0,single,2.6045398247325453,no,S,no
female,22.0,1ra,1,couple,4.213607983048918,yes,S,yes
male,55.5,3ra,0,single,2.2027647577118348,no,S,no
male,40.5,3ra,2,family,2.740840023925201,no,S,no
male,,3ra,0,single,2.1177604059819726,no,S,no
male,51.0,1ra,1,couple,4.133231886474144,no,C,no
female,16.0,3ra,0,single,2.167143305297764,no,Q,yes
male,30.0,3ra,0,single,2.2027647577118348,no,S,no
male,,3ra,0,single,2.2682524139135403,no,S,no
male,,3ra,10,family,4.256321678298823,no,S,no
male,44.0,3ra,1,couple,2.8390784635086144,no,S,no
female,40.0,2da,0,single,2.8183982582710754,no,S,yes
male,26.0,3ra,0,single,2.1719067693519296,no,S,no
male,17.0,3ra,0,single,2.2682524139135403,no,S,no
male,1.0,3ra,5,family,3.705920919968788,no,S,no
male,9.0,3ra,2,family,3.0692150503137943,no,S,yes
female,,1ra,1,couple,4.02535169073515,yes,S,yes
female,45.0,3ra,5,family,3.3638415951183864,no,S,no
male,,1ra,0,single,3.2930552230424524,no,S,no
male,28.0,3ra,0,single,4.05171190165724,no,S,no
male,61.0,1ra,0,single,3.5409593240373143,yes,S,no
male,4.0,3ra,5,family,3.405355391810819,no,Q,no
female,1.0,3ra,2,family,2.495953738718064,no,S,yes
male,21.0,3ra,0,single,2.188856327665703,no,S,no
male,56.0,1ra,0,single,3.4561841799918147,yes,C,no
male,18.0,3ra,2,family,2.180891922715322,no,S,no
male,,3ra,4,family,3.275887339030031,no,S,no
female,50.0,1ra,0,single,3.391567832686312,yes,C,no
male,30.0,2da,0,single,2.6390573296152584,no,S,no
male,36.0,3ra,0,single,0.0,no,S,no
female,,3ra,10,family,4.256321678298823,no,S,no
male,,2da,0,single,2.775708849576025,no,C,no
male,9.0,3ra,6,family,3.4777725458882283,no,S,no
male,1.0,2da,3,family,3.6888794541139363,yes,S,yes
female,4.0,3ra,2,family,3.1365805821413706,no,S,yes
male,,1ra,0,single,3.9318256327243257,yes,S,no
female,,3ra,1,couple,2.803360380906535,no,Q,yes
male,45.0,1ra,0,single,3.3160025355989236,no,S,yes
male,40.0,3ra,2,family,2.803360380906535,no,Q,no
male,36.0,3ra,0,single,2.1855792552411137,no,S,no
female,32.0,2da,0,single,2.6390573296152584,no,S,yes
male,19.0,2da,0,single,2.6390573296152584,no,S,no
female,19.0,3ra,1,couple,2.180891922715322,no,S,yes
male,3.0,2da,2,family,3.295836866004329,yes,S,yes
female,44.0,1ra,0,single,3.357621598945279,yes,C,yes
female,58.0,1ra,0,single,4.993969182787072,yes,C,yes
male,,3ra,0,single,2.169053700369523,no,Q,no
male,42.0,3ra,1,couple,2.2411563979973974,no,S,no
female,,3ra,0,single,2.169053700369523,no,Q,yes
female,24.0,2da,0,single,2.6390573296152584,no,S,no
male,28.0,3ra,0,single,2.3513752571634776,no,S,no
male,,3ra,10,family,4.256321678298823,no,S,no
male,34.0,3ra,0,single,2.0143428636837015,no,S,no
male,45.5,3ra,0,single,2.1071782966514356,no,C,no
male,18.0,3ra,0,single,2.2027647577118348,no,S,yes
female,2.0,3ra,1,couple,2.4390808375825834,yes,S,no
male,32.0,3ra,1,couple,2.8243506567983707,no,S,no
male,26.0,3ra,0,single,2.9850504252071306,no,C,yes
female,16.0,3ra,0,single,2.169053700369523,no,Q,yes
male,40.0,1ra,0,single,3.4657359027997265,yes,C,yes
male,24.0,3ra,0,single,2.085672091430472,no,S,no
female,35.0,2da,0,single,3.091042453358316,no,S,yes
male,22.0,3ra,0,single,2.1102132003465894,no,S,no
male,30.0,2da,0,single,2.6390573296152584,no,S,no
male,,3ra,1,couple,2.169053700369523,no,Q,no
female,31.0,1ra,1,couple,4.738607824217808,yes,C,yes
female,27.0,3ra,0,single,2.188856327665703,no,S,yes
male,42.0,2da,1,couple,3.332204510175204,no,S,no
female,32.0,1ra,0,single,4.347586575960343,yes,C,yes
male,30.0,2da,0,single,2.4423470353692043,no,S,no
male,16.0,3ra,0,single,2.2027647577118348,no,S,yes
male,27.0,2da,0,single,2.6390573296152584,no,S,no
male,51.0,3ra,0,single,2.2027647577118348,no,S,no
male,,3ra,0,single,2.1855792552411137,no,S,no
male,38.0,1ra,1,couple,4.51085950651685,yes,S,yes
male,22.0,3ra,0,single,2.336986519711378,no,S,no
male,19.0,2da,0,single,2.4423470353692043,no,S,yes
male,20.5,3ra,0,single,2.1102132003465894,no,S,no
male,18.0,2da,0,single,2.6390573296152584,no,S,no
female,,3ra,4,family,3.275887339030031,no,S,no
female,35.0,1ra,1,couple,4.436455632600354,yes,S,yes
male,29.0,3ra,0,single,2.1719067693519296,no,S,no
male,59.0,2da,0,single,2.6741486494265287,no,S,no
female,5.0,3ra,6,family,3.4777725458882283,no,S,yes
male,24.0,2da,0,single,2.4423470353692043,no,S,no
female,,3ra,0,single,2.145931282948669,no,S,no
male,44.0,2da,1,couple,3.295836866004329,no,S,no
female,8.0,2da,2,family,3.305053521109253,no,S,yes
male,19.0,2da,0,single,2.4423470353692043,no,S,no
male,33.0,2da,0,single,2.5858825671280026,no,S,no
female,,3ra,1,couple,2.737880811060884,no,C,no
female,,3ra,1,couple,2.803360380906535,no,Q,yes
