,Sex_female,Age,Pclass2_1ra,Pclass2_2da,Family,Family2_couple,Family2_family,Fare2,Cabin2,Embarked2_C,Embarked2_Q,Embarked2_X
0,0.0,22.0,0.0,0.0,1.0,1.0,0.0,2.1102132003465894,0.0,0.0,0.0,0.0
1,1.0,38.0,1.0,0.0,1.0,1.0,0.0,4.2805931204649,1.0,1.0,0.0,0.0
2,1.0,26.0,0.0,0.0,0.0,0.0,0.0,2.188856327665703,0.0,0.0,0.0,0.0
3,1.0,35.0,1.0,0.0,1.0,1.0,0.0,3.990834185852436,1.0,0.0,0.0,0.0
4,0.0,35.0,0.0,0.0,0.0,0.0,0.0,2.2027647577118348,0.0,0.0,0.0,0.0
5,0.0,26.0,0.0,0.0,0.0,0.0,0.0,2.246892662898172,0.0,0.0,1.0,0.0
6,0.0,54.0,1.0,0.0,0.0,0.0,0.0,3.967694202798607,1.0,0.0,0.0,0.0
7,0.0,2.0,0.0,0.0,4.0,0.0,1.0,3.0944457464900235,0.0,0.0,0.0,0.0
8,1.0,27.0,0.0,0.0,2.0,0.0,1.0,2.495953738718064,0.0,0.0,0.0,0.0
9,1.0,14.0,0.0,1.0,1.0,1.0,0.0,3.436268471383741,0.0,1.0,0.0,0.0
10,1.0,4.0,0.0,0.0,2.0,0.0,1.0,2.8735646395797834,1.0,0.0,0.0,0.0
11,1.0,58.0,1.0,0.0,0.0,0.0,0.0,3.3160025355989236,1.0,0.0,0.0,0.0
12,0.0,20.0,0.0,0.0,0.0,0.0,0.0,2.2027647577118348,0.0,0.0,0.0,0.0
13,0.0,39.0,0.0,0.0,6.0,0.0,1.0,3.4742929367327062,0.0,0.0,0.0,0.0
14,1.0,14.0,0.0,0.0,0.0,0.0,0.0,2.180891922715322,0.0,0.0,0.0,0.0
15,1.0,55.0,0.0,1.0,0.0,0.0,0.0,2.833213344056216,0.0,0.0,0.0,0.0
16,0.0,2.0,0.0,0.0,5.0,0.0,1.0,3.405355391810819,0.0,0.0,1.0,0.0
17,0.0,29.0,0.0,1.0,0.0,0.0,0.0,2.6390573296152584,0.0,0.0,0.0,0.0
18,1.0,31.0,0.0,0.0,1.0,1.0,0.0,2.9444389791664403,0.0,0.0,0.0,0.0
19,1.0,22.0,0.0,0.0,0.0,0.0,0.0,2.1071782966514356,0.0,1.0,0.0,0.0
20,0.0,35.0,0.0,1.0,0.0,0.0,0.0,3.295836866004329,0.0,0.0,0.0,0.0
21,0.0,34.0,0.0,1.0,0.0,0.0,0.0,2.6390573296152584,1.0,0.0,0.0,0.0
22,1.0,15.0,0.0,0.0,0.0,0.0,0.0,2.2004637699272855,0.0,0.0,1.0,0.0
